"Kitchen" "Laundry" "AirSystem" "DayUsage" "NightUsage" "Calls" "Age" "Payment" "Region1" "Region2" "Region3" "X15oMenos" "X16_30" "X31_Mas" "kmm$cluster"
0.834165112 -0.019355244 -0.29948118 0.757648451 -0.837779093 1.95798616 -0.843558962 1 0 1 0 0 1 0 5
0.385158162 0.467847693 1.347253627 1.630946022 -1.130491358 -0.260695041 -2.065960549 0 1 0 0 1 0 0 5
0.564760942 0.15780946 0.299331477 1.112019998 -1.020724259 0.848645559 -1.352892957 0 1 0 0 0 1 0 5
0.115753992 0.246391812 1.871214702 1.609159936 -1.130491358 -0.260695041 -1.556626554 0 1 0 0 0 1 0 5
-0.423054348 -0.107937596 0.224479895 0.824860844 -1.130491358 0.848645559 -1.251026158 0 0 1 0 0 1 0 5
-0.782259908 0.15780946 0.299331477 0.764137924 -0.984135225 -0.260695041 -1.760360152 0 1 0 0 0 1 0 5
1.193370672 0.113518284 1.347253627 1.375307163 -0.874368126 0.848645559 -0.945425761 0 0 0 1 0 1 0 5
0.385158162 0.069227108 0.972995716 1.036695764 -0.837779093 -0.260695041 -1.04729256 0 0 0 1 0 1 0 5
-0.602657128 -0.06364642 -0.449184344 0.435956034 -0.910957159 0.848645559 -1.96409375 0 0 1 0 1 0 0 5
0.744363722 0.290682988 1.721511538 1.618198844 -1.020724259 0.848645559 -1.556626554 0 0 1 0 0 1 0 5
0.834165112 0.246391812 -0.598887509 1.064507789 -1.130491358 -0.260695041 -2.065960549 0 0 0 1 1 0 0 5
-0.602657128 0.113518284 -7.49e-05 0.639910881 -0.910957159 0.848645559 -1.658493353 0 1 0 0 0 1 0 5
1.732179012 -0.06364642 -7.49e-05 1.052687679 -0.874368126 1.95798616 -0.945425761 1 0 1 0 0 1 0 5
1.462774842 -0.50655818 -0.074926434 0.999149531 -1.130491358 1.95798616 -0.639825364 0 0 1 0 0 1 0 5
0.205555382 -0.107937596 0.972995716 1.021399151 -0.947546192 0.848645559 -0.843558962 0 0 1 0 0 1 0 5
1.193370672 -0.417975828 -0.524035927 0.629249605 -0.874368126 0.848645559 -0.945425761 0 0 1 0 0 1 0 5
0.385158162 -0.152228772 0.823292552 1.104371691 -1.057313292 1.95798616 -0.639825364 1 0 0 1 0 1 0 5
0.115753992 -0.196519948 0.299331477 0.677920648 -0.837779093 -0.260695041 -0.639825364 0 0 0 1 0 1 0 5
1.911781792 -0.683722885 0.224479895 0.972728108 -0.984135225 0.848645559 -0.741692163 0 1 0 0 0 1 0 5
0.205555382 -0.993761117 0.523886223 0.398873335 -0.837779093 -0.260695041 -1.760360152 0 0 1 0 0 1 0 5
0.654562332 -0.2851023 -0.449184344 0.588922169 -0.874368126 0.848645559 -2.167827348 0 1 0 0 1 0 0 5
2.001583182 -0.462267004 -0.374332762 0.797512353 -0.837779093 -0.260695041 -0.843558962 0 1 0 0 0 1 0 5
1.732179012 -0.417975828 0.299331477 1.182013593 -1.093902325 0.848645559 -1.352892957 0 0 1 0 0 1 0 5
0.654562332 -0.462267004 1.347253627 1.274025041 -1.167080391 0.848645559 -1.149159359 0 0 0 1 0 1 0 5
2.360788742 -0.50655818 1.197550463 1.31481601 -0.874368126 0.848645559 -1.760360152 0 0 1 0 0 1 0 5
0.295356772 -0.816596413 0.598737806 0.578724427 -0.910957159 0.848645559 -1.658493353 0 0 0 1 0 1 0 5
1.103569282 -0.240811124 1.571808373 1.29256639 -0.910957159 -0.260695041 -0.639825364 0 0 1 0 0 1 0 5
0.474959552 -0.329393476 1.571808373 1.289785188 -1.093902325 0.848645559 -1.658493353 0 1 0 0 0 1 0 5
0.474959552 -0.949469941 -0.673739091 0.211605703 -0.910957159 -0.260695041 -0.334224967 0 0 0 1 0 1 0 5
1.821980402 -0.816596413 0.898144134 1.21701039 -1.130491358 -0.260695041 -1.149159359 0 0 1 0 0 1 0 5
0.744363722 -0.152228772 -0.598887509 0.722419887 -0.984135225 0.848645559 -1.760360152 0 0 1 0 0 1 0 5
0.654562332 -0.683722885 1.12269888 0.897635642 -0.947546192 0.848645559 -1.862226951 0 0 1 0 1 0 0 5
1.283172062 -0.683722885 -0.224629598 0.670735875 -0.947546192 -0.260695041 -1.04729256 0 0 0 1 0 1 0 5
0.654562332 -0.728014061 -0.524035927 0.423208856 -0.947546192 0.848645559 -0.843558962 0 1 0 0 0 1 0 5
2.270987352 -0.949469941 0.823292552 0.992196525 -0.874368126 -0.260695041 -1.149159359 0 0 0 1 0 1 0 5
2.450590132 -0.772305237 0.449034641 1.189661899 -1.057313292 -0.260695041 -1.04729256 0 0 1 0 0 1 0 5
0.025952602 -0.816596413 -7.49e-05 0.29921358 -0.837779093 -0.260695041 -0.537958565 0 1 0 0 0 1 0 5
0.564760942 -0.2851023 0.299331477 0.770395629 -0.874368126 0.848645559 -1.454759756 0 0 0 1 0 1 0 5
0.295356772 -0.860887589 1.422105209 0.815126636 -0.947546192 0.848645559 -1.862226951 0 1 0 0 1 0 0 5
3.169001252 -0.905178765 0.598737806 1.338919765 -1.057313292 0.848645559 -1.96409375 0 0 0 1 1 0 0 5
1.103569282 -0.860887589 1.272402045 0.959517396 -0.947546192 -0.260695041 -1.96409375 0 1 0 0 1 0 0 5
1.193370672 0.334974164 -0.224629598 1.304154734 -1.130491358 -0.260695041 -1.96409375 0 0 1 0 1 0 0 5
0.923966502 -0.993761117 -0.524035927 0.525418047 -1.167080391 -0.260695041 -1.862226951 0 0 0 1 1 0 0 5
1.193370672 -0.196519948 1.272402045 1.440665421 -1.093902325 0.848645559 -0.741692163 0 0 0 1 0 1 0 5
0.025952602 -0.373684652 1.646659955 0.972032807 -0.874368126 0.848645559 -1.556626554 0 1 0 0 0 1 0 5
1.103569282 -0.240811124 1.571808373 1.369049458 -0.984135225 0.848645559 -1.149159359 0 0 1 0 0 1 0 5
1.462774842 -0.728014061 0.823292552 1.117350636 -1.093902325 -0.260695041 -2.065960549 0 1 0 0 1 0 0 5
1.642377622 -0.905178765 -0.224629598 0.833667985 -1.167080391 -0.260695041 -0.945425761 0 0 1 0 0 1 0 5
1.821980402 -0.816596413 -0.224629598 0.66957704 -0.874368126 -0.260695041 -1.862226951 0 1 0 0 1 0 0 5
0.744363722 -0.462267004 1.12269888 0.917104059 -0.837779093 0.848645559 -1.760360152 0 0 0 1 0 1 0 5
2.001583182 -0.639431709 -0.673739091 0.764137924 -0.984135225 -0.260695041 -1.454759756 0 1 0 0 0 1 0 5
1.732179012 -0.905178765 1.871214702 1.099041053 -0.80119006 -0.260695041 -1.96409375 0 1 0 0 1 0 0 5
2.001583182 -0.152228772 0.74844097 1.274488574 -0.874368126 0.848645559 -2.167827348 0 1 0 0 1 0 0 5
2.001583182 -0.329393476 0.074776731 1.296042893 -1.167080391 0.848645559 -0.639825364 0 0 0 1 0 1 0 5
1.193370672 -0.905178765 0.972995716 0.976436378 -1.057313292 -0.260695041 -1.149159359 0 0 0 1 0 1 0 5
0.385158162 -0.728014061 -0.748590673 0.219485776 -0.837779093 0.848645559 -1.658493353 0 0 1 0 0 1 0 5
0.295356772 -0.860887589 -0.224629598 0.279281629 -0.837779093 0.848645559 -1.658493353 0 1 0 0 0 1 0 5
2.270987352 -0.993761117 0.299331477 0.864261212 -0.910957159 -0.260695041 -1.556626554 0 0 0 1 0 1 0 5
1.552576232 -0.417975828 0.299331477 1.000771899 -0.947546192 -0.260695041 -2.167827348 0 0 0 1 1 0 0 5
2.630192912 -0.816596413 1.422105209 1.48817763 -1.057313292 -0.260695041 -0.639825364 0 0 1 0 0 1 0 5
2.181185962 -0.816596413 1.946066284 1.41331693 -0.947546192 -0.260695041 -1.04729256 0 0 1 0 0 1 0 5
2.001583182 -0.772305237 1.646659955 1.386200206 -1.020724259 0.848645559 -0.639825364 0 0 1 0 0 1 0 5
2.719994302 -0.860887589 -0.524035927 0.803074758 -0.910957159 0.848645559 -1.454759756 0 0 1 0 0 1 0 5
1.193370672 -0.373684652 -0.074926434 0.999149531 -1.130491358 -0.260695041 -0.436091766 0 1 0 0 0 1 0 5
-0.153650178 -0.240811124 1.12269888 0.918262893 -0.947546192 0.848645559 -1.556626554 0 0 0 1 0 1 0 5
