KITCHEN	LAUNDRY	AIRSYSTEM	DayUsage	Payment	Calls	Region	Age
50	67	25	0.86	1	3	2	25
45	78	47	0.94	0	1	1	13
47	71	33	0.91	0	2	1	20
42	73	54	0.94	0	1	1	18
36	65	32	0.94	0	2	2	21
32	71	33	0.9	0	1	1	16
54	70	47	0.87	0	2	3	24
45	69	42	0.86	0	1	3	23
34	66	23	0.88	0	2	2	14
49	74	52	0.91	0	2	2	18
50	73	21	0.94	0	1	3	13
34	70	29	0.88	0	2	1	17
60	66	29	0.87	1	3	2	24
57	56	28	0.94	0	3	2	27
43	65	42	0.89	0	2	2	25
54	58	22	0.87	0	2	2	24
45	64	40	0.92	1	3	3	27
42	63	33	0.86	0	1	3	27
62	52	32	0.9	0	2	1	26
43	45	36	0.86	0	1	2	16
48	61	23	0.87	0	2	1	12
63	57	24	0.86	0	1	1	25
60	58	33	0.93	0	2	2	20
48	57	47	0.95	0	2	3	22
67	56	45	0.87	0	2	2	16
44	49	37	0.88	0	2	3	17
53	62	50	0.88	0	1	2	27
46	60	50	0.93	0	2	1	17
46	46	20	0.88	0	1	3	30
61	49	41	0.94	0	1	2	22
49	64	21	0.9	0	2	2	16
48	52	44	0.89	0	2	2	15
55	52	26	0.89	0	1	3	23
48	51	22	0.89	0	2	1	25
66	46	40	0.87	0	1	3	22
68	50	35	0.92	0	1	2	23
41	49	29	0.86	0	1	1	28
47	61	33	0.87	0	2	3	19
44	48	48	0.89	0	2	1	15
76	47	37	0.92	0	2	3	14
53	48	46	0.89	0	1	1	14
54	75	26	0.94	0	1	2	14
51	45	22	0.95	0	1	3	15
54	63	46	0.93	0	2	3	26
41	59	51	0.87	0	2	1	18
53	62	50	0.9	0	2	2	22
57	51	40	0.93	0	1	1	13
59	47	26	0.95	0	1	2	24
61	49	26	0.87	0	1	1	15
49	57	44	0.86	0	2	3	16
63	53	20	0.9	0	1	1	19
60	47	54	0.85	0	1	1	14
63	64	39	0.87	0	2	1	12
63	60	30	0.95	0	2	3	27
54	47	42	0.92	0	1	3	22
45	51	19	0.86	0	2	2	17
44	48	26	0.86	0	2	1	17
66	45	33	0.88	0	1	3	18
58	58	33	0.89	0	1	3	12
